18700;OSLO - BLINDERN;Jan/31;;94;59,9423;10,72;Oslo;Oslo;SOUTHEASTERN NORWAY
St.no;Date;Mean temperature;Minimum temperature;Maximum temperature;Precipitation;Snow depth;Snow cover;Precipitation type;
18700;0,065659722;1;-1,5;4,7;5,6;5;3; ;
18700;0,107326389;-2,7;-3,6;-0,8;.;5;3; ;
18700;0,148993056;-0,8;-4,6;-0,1;3,5;10;4; ;
18700;0,190659722;1,9;-2;5,5;.;10;4; ;
18700;0,232326389;0,3;-1,3;2;.;0;4; ;
18700;0,273993056;0;-1,4;1,9;.;7;4; ;
18700;0,315659722;0,1;-0,6;0,8;.;7;4; ;
18700;0,357326389;-0,8;-2,2;1,2;0,1;6;3; ;
18700;0,398993056;-1,5;-2,8;0,5;1,3;6;4; ;
18700;0,440659722;-0,7;-2,3;1;.;6;4; ;
18700;0,482326389;-4,4;-5,4;-0,3;0;6;0; ;
18700;0,523993056;-9,3;-10,5;-4,7;0;6;4; ;
18700;0,565659722;-13,6;-15,4;-10;.;6;4; ;
18700;0,607326389;-12,4;-16,1;-9,7;.;6;4; ;
18700;0,648993056;-8,9;-10,9;-7,1;0,1;5;4; ;
18700;0,690659722;-8,7;-11,4;-6,7;0,1;5;4; ;
18700;0,732326389;-6,1;-8,4;-4,9;0,1;7;4; ;
18700;0,773993056;-8,7;-9,8;-5,9;0,4;8;4; ;
18700;0,815659722;-13,1;-17,2;-9,5;0;8;4; ;
18700;0,857326389;-4,8;-12,1;-1,2;.;8;4; ;
18700;0,898993056;-7,1;-7,5;-3,6;.;7;4; ;
18700;0,940659722;-13;-15,2;-7,3;0;7;4; ;
18700;0,982326389;-13,3;-16,5;-8,1;.;7;4; ;
18700;24.01.2013;-9;-14;-3,5;.;7;4; ;
18700;25.01.2013;-11,8;-14;-9,9;.;7;4; ;
18700;26.01.2013;-4,7;-11,6;-2,6;3,6;8;4; ;
18700;27.01.2013;-3,7;-4,6;-3,4;5,3;16;4; ;
18700;28.01.2013;0,2;-3,6;1,6;8,1;24;4; ;
18700;29.01.2013;1;0,2;2;2,4;20;4; ;
18700;30.01.2013;2;0,2;4,6;11;20;4; ;
18700;31.01.2013;1,2;-1,6;5,4;0;19;4; ;
18700;0,066354167;-5,8;-8,2;-0,4;.;17;4; ;
18700;0,108020833;-6,6;-11;-2,6;.;17;4; ;
18700;0,1496875;-4,3;-7,1;-2,1;.;17;4; ;
18700;0,191354167;-2;-2,9;0,2;0,3;17;4; ;
18700;0,233020833;-3,7;-6,3;-1,3;8;28;4; ;
18700;0,2746875;-0,4;-1,6;0,3;0,1;28;4; ;
18700;0,316354167;-3;-4,1;-0,3;0,1;27;4; ;
18700;0,358020833;-4,9;-5,9;-2,6;0,1;26;4; ;
18700;0,3996875;-7,7;-12,4;-2,6;.;24;4; ;
18700;0,441354167;-6,1;-6,9;-4,6;1;26;4; ;
18700;0,483020833;-7,6;-12,5;-3,8;0;26;4; ;
18700;0,5246875;-4,2;-6,2;-2,5;0,1;26;4; ;
18700;0,566354167;-4;-4,9;-3;0;24;4; ;
18700;0,608020833;-2,4;-3,9;-1,1;0,1;24;4; ;
18700;0,6496875;-2;-2,9;-1,3;0;24;4; ;
18700;0,691354167;-0,7;-2;0,4;0,4;24;4; ;
18700;0,733020833;0;-0,7;0,9;1,4;26;4; ;
18700;0,7746875;0,3;-1,4;1,4;2,3;26;4; ;
18700;0,816354167;-2,6;-5,4;1,2;4;26;4; ;
18700;0,858020833;-5,3;-7,6;-1;.;26;4; ;
18700;0,8996875;-8,9;-13,2;-3,7;.;26;4; ;
18700;0,941354167;-3,5;-10,9;1;.;26;3; ;
18700;0,983020833;1,4;-1,2;4,1;0,2;25;4; ;
18700;24.02.2013;1,7;-2,5;7,2;.;25;4; ;
18700;25.02.2013;0,1;-3,6;5,4;.;25;4; ;
18700;26.02.2013;-2,9;-7,3;3,1;.;25;4; ;
18700;27.02.2013;-3,1;-6,4;1,8;.;25;4; ;
18700;28.02.2013;-0,7;-5,5;7,9;0;25;4; ;
18700;0,067048611;3,1;-2,4;8,4;0;25;4; ;
18700;0,108715278;2,9;-1,5;10,1;.;24;4; ;
18700;0,150381944;2,8;0,3;7,4;.;23;4; ;
18700;0,192048611;0,8;-1,9;5,6;.;23;4; ;
18700;0,233715278;-0,4;-3,5;2,3;.;22;4; ;
18700;0,275381944;1,4;-2,6;8,1;.;22;4; ;
18700;0,317048611;-1;-5,4;2,7;.;22;4; ;
18700;0,358715278;-2,6;-8,6;3,6;.;22;4; ;
18700;0,400381944;-4,1;-5,2;-1,5;.;22;4; ;
18700;0,442048611;-7;-9,7;-3,6;0,1;22;4; ;
18700;0,483715278;-4,5;-12,3;2,8;.;22;4; ;
18700;0,525381944;-2;-7,4;4,7;.;22;4; ;
18700;0,567048611;-6,3;-8;0,7;0;22;4; ;
18700;0,608715278;-7,5;-14,2;0,4;0;22;4; ;
18700;0,650381944;-6,4;-12,5;-2,4;.;22;4; ;
18700;0,692048611;-1,8;-3,7;0,1;6,9;32;4; ;
18700;0,733715278;-1,4;-2,9;1,6;1,2;31;4; ;
18700;0,775381944;-2,9;-5,7;0,3;0,4;30;4; ;
18700;0,817048611;-6,7;-9,8;-2,2;0;29;4; ;
18700;0,858715278;-5,1;-7,4;-2,8;0;29;4; ;
18700;0,900381944;-3,3;-5,7;0,6;0,1;29;4; ;
18700;0,942048611;-5,8;-8,8;-2;.;28;4; ;
18700;0,983715278;-4,3;-11,8;2,2;.;28;4; ;
18700;24.03.2013;-0,8;-7,2;4,7;.;28;4; ;
18700;25.03.2013;-0,2;-3;4,3;.;26;4; ;
18700;26.03.2013;-0,2;-5,1;6;.;25;4; ;
18700;27.03.2013;-1,1;-7,9;5,6;.;24;3; ;
18700;28.03.2013;-2,3;-8,1;4,4;.;22;4; ;
18700;29.03.2013;-0,1;-6,9;4,9;.;22;4; ;
18700;30.03.2013;0,3;-3,7;5,2;.;21;4; ;
18700;31.03.2013;0;-6,9;6,7;.;20;4; ;
18700;0,067743056;2;-4,4;7;.;20;4; ;
18700;0,109409722;2,1;-3,1;7;.;14;3; ;
18700;0,151076389;2,4;-3,9;8,2;.;12;3; ;
18700;0,192743056;3,8;-3,9;10,3;.;9;3; ;
18700;0,234409722;3,5;1;8,5;.;8;3; ;
18700;0,276076389;0,7;-4,1;6,2;.;8;3; ;
18700;0,317743056;1,4;-3,6;6,2;0;0;1; ;
18700;0,359409722;1,2;-3,9;6,3;.;0;1; ;
18700;0,401076389;1,2;-4,9;6,7;.;0;1; ;
18700;0,442743056;1;-3,8;5;.;0;1; ;
18700;0,484409722;0,5;-1,4;2,9;.;0;1; ;
18700;0,526076389;2,4;0,3;5,5;0,2;0;3; ;
18700;0,567743056;3,7;1,6;6,7;0,3;0;1; ;
18700;0,609409722;2,7;-1,4;5,8;0;0;1; ;
18700;0,651076389;5,7;5;6,7;8,4;0;1; ;
18700;0,692743056;5;3,9;6,3;2,5;0;0; ;
18700;0,734409722;8,1;4,3;14,5;5,3;0;1; ;
18700;0,776076389;6,6;4,7;10,2;5,5;0;1; ;
18700;0,817743056;5,7;4,7;9,1;5,8;0;0; ;
18700;0,859409722;5;-1,2;11,6;1,6;0;0; ;
18700;0,901076389;4,5;-0,8;12,1;.;0;0; ;
18700;0,942743056;5,4;0;10,4;.;0;0; ;
18700;0,984409722;8,6;4,1;14,6;0;0;0; ;
18700;24.04.2013;7,7;2;12,1;0;0;0; ;
18700;25.04.2013;7,6;0,6;14;.;0;0; ;
18700;26.04.2013;6,7;2,2;11,6;1,4;0;0; ;
18700;27.04.2013;7,2;2,8;13,1;0,4;0;0; ;
18700;28.04.2013;4,4;-1,1;10,1;.;0;0; ;
18700;29.04.2013;5,5;3,1;9;6,6;0;0; ;
18700;30.04.2013;8,1;2,5;14;2,6;0;0; ;
18700;0,0684375;5,6;0,2;10,2;.;0;0; ;
18700;0,110104167;6,9;1,7;12,1;.;0;0; ;
18700;0,151770833;5,2;0,1;8,9;.;0;0; ;
18700;0,1934375;6;1,6;8,5;0,9;0;0; ;
18700;0,235104167;9,6;0,7;17;9,9;0;0; ;
18700;0,276770833;10,5;3,7;18,9;.;0;0; ;
18700;0,3184375;13,4;8,2;21,1;0,7;0;0; ;
18700;0,360104167;13;5,8;21,3;.;0;0; ;
18700;0,401770833;11,2;10,4;13,1;10,4;0;0; ;
18700;0,4434375;8,9;6,6;12,5;3,8;0;0; ;
18700;0,485104167;9,8;7,5;13,2;0,9;0;0; ;
18700;0,526770833;8,9;7,8;10,2;3;0;0; ;
18700;0,5684375;7,6;7,1;10;2,3;0;0; ;
18700;0,610104167;7,7;4,1;11,7;3,9;0;0; ;
18700;0,651770833;8,9;3,6;12,2;1,3;0;0; ;
18700;0,6934375;16,2;11,4;21,7;0,2;0;0; ;
18700;0,735104167;17,5;13,5;22,5;.;0;0; ;
18700;0,776770833;20,8;16,4;26,8;0,3;0;0; ;
18700;0,8184375;20,8;16;25,4;.;0;0; ;
18700;0,860104167;16,3;15,4;23,4;1,9;0;0; ;
18700;0,901770833;15,1;13,5;18;0,1;0;0; ;
18700;0,9434375;13,5;12,2;17;15,6;0;0; ;
18700;0,985104167;10,1;7,4;13,2;19,7;0;0; ;
18700;24.05.2013;12,3;2,1;19,2;4,5;0;0; ;
18700;25.05.2013;17,4;12,9;22,1;0;0;0; ;
18700;26.05.2013;19,1;12,6;24,2;.;0;0; ;
18700;27.05.2013;14,4;12,4;22,5;0,5;0;0; ;
18700;28.05.2013;15,5;11,4;22,7;5,3;0;0; ;
18700;29.05.2013;17,6;15,2;21,5;2,9;0;0; ;
18700;30.05.2013;17;13,3;22,3;1,2;0;0; ;
18700;31.05.2013;19,7;15,6;25,9;0,1;0;0; ;
18700;0,069131944;18,3;12,4;25,1;0,6;0;0; ;
18700;0,110798611;16,3;14,3;20,9;3,5;0;0; ;
18700;0,152465278;14,1;10;18,4;18,4;0;0; ;
18700;0,194131944;11,9;6,6;17,4;.;0;0; ;
18700;0,235798611;11,4;7,7;16,7;1,9;0;0; ;
18700;0,277465278;12,1;8;16,5;3,4;0;0; ;
18700;0,319131944;14,6;7;21,9;0;0;0; ;
18700;0,360798611;15,6;8,2;22;.;0;0; ;
18700;0,402465278;14,3;11,2;19,3;.;0;0; ;
18700;0,444131944;15,5;9;20,8;2,9;0;0; ;
18700;0,485798611;15,5;10,6;21,7;0,1;0;0; ;
18700;0,527465278;12,8;11,1;17,4;.;0;0; ;
18700;0,569131944;13,7;11,1;15,4;13,9;0;0; ;
18700;0,610798611;15,7;11,9;21,2;3,8;0;0; ;
18700;0,652465278;14,3;7,1;18,9;.;0;0; ;
18700;0,694131944;13,1;10;17,3;6,2;0;0; ;
18700;0,735798611;16,6;7,9;23,2;0;0;0; ;
18700;0,777465278;16,7;10,4;22,9;0;0;0; ;
18700;0,819131944;15,9;12,4;22,5;.;0;0; ;
18700;0,860798611;17,8;13,5;23,8;3,1;0;0; ;
18700;0,902465278;17,7;12;22,5;.;0;0; ;
18700;0,944131944;15,5;15,2;19,1;17,7;0;0; ;
18700;0,985798611;14,9;12,7;18,6;3,5;0;0; ;
18700;24.06.2013;15;12,6;19,8;3;0;0; ;
18700;25.06.2013;17,1;12;22,9;2,2;0;0; ;
18700;26.06.2013;14;12,3;18,9;.;0;0; ;
18700;27.06.2013;14,7;12,1;17,2;22,8;0;0; ;
18700;28.06.2013;14,9;13,4;18,7;5;0;0; ;
18700;29.06.2013;13;11,1;17,5;0,2;0;0; ;
18700;30.06.2013;15,6;11,9;21;14,5;0;0; ;
18700;0,069826389;15,5;11,5;20,9;0;0;0; ;
18700;0,111493056;14,3;12,1;19,8;0;0;0; ;
18700;0,153159722;14,3;9,9;18,5;1;0;0; ;
18700;0,194826389;14,6;12,6;17;7,8;0;0; ;
18700;0,236493056;17,8;14,1;23,6;1,9;0;0; ;
18700;0,278159722;18;11;24;0;0;0; ;
18700;0,319826389;19,5;11,5;26,1;.;0;0; ;
18700;0,361493056;17,8;14;24,3;.;0;0; ;
18700;0,403159722;17,8;11,4;23,2;.;0;0; ;
18700;0,444826389;17,4;12,3;22,6;0,1;0;0; ;
18700;0,486493056;17,7;9,5;24,1;.;0;0; ;
18700;0,528159722;20,1;14,1;25,6;.;0;0; ;
18700;0,569826389;17,9;12,4;22,8;.;0;0; ;
18700;0,611493056;17,3;13;22,4;0,1;0;0; ;
18700;0,653159722;17,3;11,8;23,1;0,1;0;0; ;
18700;0,694826389;17,3;13;22,4;.;0;0; ;
18700;0,736493056;21;15,6;26,7;0;0;0; ;
18700;0,778159722;21,1;15,4;26,3;0;0;0; ;
18700;0,819826389;19,9;14,7;24,8;.;0;0; ;
18700;0,861493056;21,2;12,1;29;.;0;0; ;
18700;0,903159722;22,1;14,7;28,8;.;0;0; ;
18700;0,944826389;18,9;14,5;26,1;.;0;0; ;
18700;0,986493056;19,6;13,3;26;.;0;0; ;
18700;24.07.2013;20,5;14,4;27,6;.;0;0; ;
18700;25.07.2013;22,2;16,5;28,4;0;0;0; ;
18700;26.07.2013;21,1;15;27,6;0,1;0;0; ;
18700;27.07.2013;19,4;16,5;24,9;.;0;0; ;
18700;28.07.2013;19,1;15,3;21,9;1,5;0;0; ;
18700;29.07.2013;19,4;14,5;25,6;0,5;0;0; ;
18700;30.07.2013;16,1;13,7;20,5;.;0;0; ;
18700;31.07.2013;15,5;11,6;22,7;6,2;0;0; ;
18700;0,070520833;17,7;9,3;24,3;8;0;0; ;
18700;0,1121875;18,8;14,2;23,3;.;0;0; ;
18700;0,153854167;18,6;16,1;20,5;0,6;0;0; ;
18700;0,195520833;16,9;12,9;23,8;17,6;0;0; ;
18700;0,2371875;17,5;11,9;23;9,4;0;0; ;
18700;0,278854167;17;14,9;20,4;5,9;0;0; ;
18700;0,320520833;19,5;14,6;25,8;6,2;0;0; ;
18700;0,3621875;15,2;14,2;22,1;2;0;0; ;
18700;0,403854167;17;10,5;23,2;12,8;0;0; ;
18700;0,445520833;16;12,6;21,7;.;0;0; ;
18700;0,4871875;16,4;12,5;22,9;0;0;0; ;
18700;0,528854167;14;12,1;21;0,1;0;0; ;
18700;0,570520833;14,3;9,3;20,2;21,6;0;0; ;
18700;0,6121875;14,9;11,5;19,4;0,1;0;0; ;
18700;0,653854167;15,6;10,9;21,3;1,8;0;0; ;
18700;0,695520833;16;14,1;18,2;0,5;0;0; ;
18700;0,7371875;17,5;14,5;22,3;17,9;0;0; ;
18700;0,778854167;15,3;13,8;18,8;2,6;0;0; ;
18700;0,820520833;15,3;9,3;21,6;13,4;0;0; ;
18700;0,8621875;15,2;7,5;22,9;.;0;0; ;
18700;0,903854167;14,9;8,6;21,1;.;0;0; ;
18700;0,945520833;15,7;9,4;22,2;0;0;0; ;
18700;0,9871875;16,8;11,6;23,4;.;0;0; ;
18700;24.08.2013;16,8;10,1;24;.;0;0; ;
18700;25.08.2013;16,7;11,2;23,2;.;0;0; ;
18700;26.08.2013;15,7;8,6;22,7;.;0;0; ;
18700;27.08.2013;15,8;10,1;22,7;.;0;0; ;
18700;28.08.2013;16,8;11;23,7;.;0;0; ;
18700;29.08.2013;16,3;13,5;20,5;.;0;0; ;
18700;30.08.2013;15,5;13,9;18,8;0;0;0; ;
18700;31.08.2013;14,7;13,2;20,2;0,7;0;0; ;
18700;0,071215278;12,1;5,7;17,7;3;0;0; ;
18700;0,112881944;14,2;9,4;20,1;0,1;0;0; ;
18700;0,154548611;16,1;9,4;22,8;.;0;0; ;
18700;0,196215278;16,1;14;20,6;.;0;0; ;
18700;0,237881944;16,3;14,1;20,7;.;0;0; ;
18700;0,279548611;16,5;14,2;21,3;0,6;0;0; ;
18700;0,321215278;17;12;23,2;.;0;0; ;
18700;0,362881944;17,1;11,3;23,3;.;0;0; ;
18700;0,404548611;16,5;12,8;21;.;0;0; ;
18700;0,446215278;15,2;13,2;18,2;.;0;0; ;
18700;0,487881944;14,9;12,5;17,7;2;0;0; ;
18700;0,529548611;14,2;9,6;20,3;0;0;0; ;
18700;0,571215278;13,4;8,4;20,3;.;0;0; ;
18700;0,612881944;14,6;10,1;17,7;.;0;0; ;
18700;0,654548611;13,7;13,6;15,6;10,4;0;0; ;
18700;0,696215278;10,4;9,2;13,7;3,7;0;0; ;
18700;0,737881944;10,1;7,4;13,4;15;0;0; ;
18700;0,779548611;10,6;8,3;14,9;2,5;0;0; ;
18700;0,821215278;10,2;6,6;15,7;2;0;0; ;
18700;0,862881944;8,9;4,2;14,6;.;0;0; ;
18700;0,904548611;11,2;6,7;17,1;.;0;0; ;
18700;0,946215278;11,8;9,8;15,9;.;0;0; ;
18700;0,987881944;12;8,3;17;.;0;0; ;
18700;24.09.2013;8,3;3,6;14;.;0;0; ;
18700;25.09.2013;5,2;3,8;8,5;.;0;0; ;
18700;26.09.2013;4,5;1,5;10,6;0,9;0;0; ;
18700;27.09.2013;7,3;0,5;13,5;0,7;0;0; ;
18700;28.09.2013;7,6;3,9;11,1;.;0;0; ;
18700;29.09.2013;7,2;4,3;11,6;.;0;0; ;
18700;30.09.2013;7;2,9;13,4;.;0;0; ;
18700;0,071909722;6,1;2,7;11,9;.;0;0; ;
18700;0,113576389;6,5;1,1;10,5;.;0;0; ;
18700;0,155243056;8,1;4,8;10,2;.;0;0; ;
18700;0,196909722;7,5;5,4;9,4;0;0;0; ;
18700;0,238576389;9,9;7,2;15,7;14,6;0;0; ;
18700;0,280243056;8,9;3,7;14,6;9,2;0;0; ;
18700;0,321909722;12,6;9,7;16;.;0;0; ;
18700;0,363576389;14;12,5;19,1;3;0;0; ;
18700;0,405243056;12,1;9,4;17,4;0,1;0;0; ;
18700;0,446909722;6,9;5;11,6;14,5;0;0; ;
18700;0,488576389;6,3;1,2;12,1;3,8;0;0; ;
18700;0,530243056;7,5;2,4;15,2;.;0;0; ;
18700;0,571909722;9;2,8;15,4;.;0;0; ;
18700;0,613576389;7,3;5,2;11,4;.;0;0; ;
18700;0,655243056;5,3;4,1;7,7;.;0;0; ;
18700;0,696909722;6,5;2,7;7,3;0;0;0; ;
18700;0,738576389;6,2;4,8;7,6;0;0;0; ;
18700;0,780243056;3;-1,3;9,1;0,1;0;0; ;
18700;0,821909722;1,9;-1,5;5,7;.;0;0; ;
18700;0,863576389;2,6;1,3;4;.;0;0; ;
18700;0,905243056;2,5;1,2;3,7;0;0;0; ;
18700;0,946909722;5,3;1,4;6,7;5;0;0; ;
18700;0,988576389;12,5;6,7;12,8;20,5;0;0; ;
18700;24.10.2013;9,1;7,4;13,1;1,7;0;0; ;
18700;25.10.2013;7,1;2,9;11,2;.;0;0; ;
18700;26.10.2013;9,1;6,3;13;3;0;0; ;
18700;27.10.2013;10,5;9,6;12;2,3;0;0; ;
18700;28.10.2013;8,7;7,2;12,5;12,5;0;0; ;
18700;29.10.2013;7,1;4,8;11,4;0,1;0;0; ;
18700;30.10.2013;5,4;2,6;10,1;0;0;0; ;
18700;31.10.2013;6,4;1;11,4;1,3;0;0; ;
18700;0,072604167;5,7;2,6;10,1;2,7;0;0; ;
18700;0,114270833;4;1,4;9;0;0;0; ;
18700;0,1559375;6,3;2,2;8,2;0,6;0;0; ;
18700;0,197604167;6,3;5,8;7,9;11,2;0;0; ;
18700;0,239270833;3,4;2,7;6,2;.;0;0; ;
18700;0,2809375;1;-1,7;2,8;.;0;0; ;
18700;0,322604167;1,8;0,5;2,9;.;0;0; ;
18700;0,364270833;3;-0,3;7;1,8;0;0; ;
18700;0,4059375;3,9;1,5;5,6;0;0;0; ;
18700;0,447604167;3;2,5;5,6;3,6;0;0; ;
18700;0,489270833;1,2;-2,9;3,3;.;0;0; ;
18700;0,5309375;6,7;3,3;10;0,3;0;0; ;
18700;0,572604167;2,6;-0,1;7,9;.;0;0; ;
18700;0,614270833;4,1;0,3;6,6;.;0;0; ;
18700;0,6559375;3,9;1,9;6,3;2,6;0;0; ;
18700;0,697604167;11;5,3;13,2;2;0;0; ;
18700;0,739270833;4,7;1,8;11,2;.;0;0; ;
18700;0,7809375;3,3;-2,7;6,4;.;0;0; ;
18700;0,822604167;2,2;-0,6;6,2;27,3;0;0; ;
18700;0,864270833;-2,1;-4,5;0,7;.;0;0; ;
18700;0,9059375;-2,3;-3,7;0;.;0;0; ;
18700;0,947604167;-5;-7,5;-1,1;.;0;0; ;
18700;0,989270833;-4,2;-6;-3,3;.;0;0; ;
18700;24.11.2013;-1,6;-6,1;2,2;.;0;0; ;
18700;25.11.2013;-0,8;-3,2;2,1;.;0;0; ;
18700;26.11.2013;-2,7;-6;-1;.;0;0; ;
18700;27.11.2013;5,7;-1;13,7;0;0;0; ;
18700;28.11.2013;6;4,4;10,3;.;0;0; ;
18700;29.11.2013;1,3;-0,4;6,5;.;0;0; ;
18700;30.11.2013;-0,8;-2,6;1,7;0;0;0; ;
18700;0,073298611;3,7;-1,2;8,3;.;0;0; ;
18700;0,114965278;-0,5;-3;1,9;.;0;0; ;
18700;0,156631944;2,5;0,1;5;.;0;0; ;
18700;0,198298611;0,8;-2,7;5,6;.;0;0; ;
18700;0,239965278;2;-1,9;6,4;.;0;0; ;
18700;0,281631944;-0,2;-1,1;1,7;1,4;0;0; ;
18700;0,323298611;-4,4;-6,9;0,6;.;0;0; ;
18700;0,364965278;-4,6;-8,9;-2,9;1;1;1; ;
18700;0,406631944;-3;-3,8;-2,6;7,2;9;4; ;
18700;0,448298611;0,4;-2,6;1,1;4,6;12;4; ;
18700;0,489965278;-1;-1,6;0,7;0,3;10;4; ;
18700;0,531631944;2,1;-1,5;4,2;0,1;10;4; ;
18700;0,573298611;0;-2,5;4,4;.;0;0; ;
18700;0,614965278;0,5;-0,7;1,5;7;15;4; ;
18700;0,656631944;2,8;0,2;5,2;11,2;10;4; ;
18700;0,698298611;6,6;1,4;8,7;7,5;7;4; ;
18700;0,739965278;1,8;-0,4;6,9;1,7;0;0; ;
18700;0,781631944;0,6;-2,5;3,4;.;0;0; ;
18700;0,823298611;4,4;2,4;5,5;3,4;0;0; ;
18700;0,864965278;2,2;0,5;5,3;3,2;0;0; ;
18700;0,906631944;5,3;0,3;8,3;8;0;0; ;
18700;0,948298611;5,6;4,1;7,4;4,4;0;0; ;
18700;0,989965278;2,3;0,5;4,4;0;0;0; ;
18700;24.12.2013;6;1,5;8;8,5;0;0; ;
18700;25.12.2013;5;3,8;7,3;13,3;0;0; ;
18700;26.12.2013;4;1,7;5,9;3,5;0;0; ;
18700;27.12.2013;3,5;0,8;3,8;1,6;0;0; ;
18700;28.12.2013;6,3;2,1;7,1;13;0;0; ;
18700;29.12.2013;3,1;-0,3;6,5;0;0;0; ;
18700;30.12.2013;0,1;-3,2;3,4;0;0;0; ;
18700;31.12.2013;5,4;3,3;7,7;6,6;0;0; ;
18700;0,065671296;3,4;2;5,1;0;0;0; ;
18700;0,107337963;2,7;1,6;3,5;2,5;0;0; ;
18700;0,14900463;4,2;2,2;5,7;10,2;0;0; ;
18700;0,190671296;4,8;3,2;6;13,9;0;0; ;
18700;0,232337963;3,7;2,7;5,7;0,5;0;0; ;
18700;0,27400463;2,6;0,4;4;1,7;0;0; ;
18700;0,315671296;6,6;1,8;7,4;7,3;0;0; ;
18700;0,357337963;4,9;3,8;6,3;0,3;0;0; ;
18700;0,39900463;1,4;0,7;3,9;0,8;0;0; ;
18700;0,440671296;0,3;-0,7;1,8;0;0;0; ;
